dsu,vertices,edges,time_ns,access_count,mst_weight
Naive,100,500,46000,3780,13016.96
Union by Rank,100,500,24700,1332,13016.96
Full Tarjan,100,500,26500,1593,13016.96
Naive,500,2500,345300,114338,61102.39
Union by Rank,500,2500,225500,8488,61102.39
Full Tarjan,500,2500,215600,9291,61102.39
Naive,1000,5000,1249800,588663,122175.05
Union by Rank,1000,5000,417000,21103,122175.05
Full Tarjan,1000,5000,91500,23169,122175.05
Naive,2000,10000,2696200,2259825,241265.27
Union by Rank,2000,10000,216700,44985,241265.27
Full Tarjan,2000,10000,137400,47339,241265.27
Naive,5000,25000,16223500,14918972,582053.74
Union by Rank,5000,25000,472000,122216,582053.74
Full Tarjan,5000,25000,288500,128493,582053.74
Naive,10000,50000,85319900,77115915,1188975.80
Union by Rank,10000,50000,1233300,280640,1188975.80
Full Tarjan,10000,50000,789600,294521,1188975.80
Naive,20000,100000,683593300,337936305,2348159.22
Union by Rank,20000,100000,2987300,606905,2348159.22
Full Tarjan,20000,100000,1630700,618641,2348159.22
Naive,50000,250000,5704883700,1877343368,5860922.47
Union by Rank,50000,250000,7652900,1402268,5860922.47
Full Tarjan,50000,250000,4174100,1453769,5860922.47
